modelo,balanceo,modelo_balanceo,accuracy,f1,precision,recall,estado,error
GBT_OVR_i40_d3,sin_balanceo,GBT_OVR_i40_d3__sin_balanceo,0.9977285633162976,0.9975336343005498,0.9976268314014815,0.9977285633162976,OK,
DecisionTree_d9,sin_balanceo,DecisionTree_d9__sin_balanceo,0.9970897217490062,0.9969110408547454,0.99688715801802,0.9970897217490062,OK,
DecisionTree_d7,sin_balanceo,DecisionTree_d7__sin_balanceo,0.9970187393526405,0.9967608788956619,0.99680478119909,0.9970187393526406,OK,
RandomForest_t180_d9,sin_balanceo,RandomForest_t180_d9__sin_balanceo,0.995741056218058,0.9950028937543953,0.9944792215130163,0.995741056218058,OK,
RandomForest_t120_d8,sin_balanceo,RandomForest_t120_d8__sin_balanceo,0.9948892674616695,0.9938054851841015,0.9933697727894787,0.9948892674616695,OK,
DecisionTree_d9,oversampling,DecisionTree_d9__oversampling,0.9921209540034072,0.9932183817140272,0.9951243651688916,0.9921209540034072,OK,
LinearSVC_OVR,sin_balanceo,LinearSVC_OVR__sin_balanceo,0.9919789892106757,0.9879846327348605,0.984022315035434,0.9919789892106757,OK,
LogisticRegression,sin_balanceo,LogisticRegression__sin_balanceo,0.9914821124361158,0.9892570093635862,0.987843617006158,0.9914821124361158,OK,
NaiveBayes,sin_balanceo,NaiveBayes__sin_balanceo,0.9906303236797275,0.9884952618724906,0.9868876631180017,0.9906303236797275,OK,
RandomForest_t180_d9,oversampling,RandomForest_t180_d9__oversampling,0.9902754116978989,0.9918798899295995,0.9954914893459538,0.9902754116978989,OK,
RandomForest_t120_d8,oversampling,RandomForest_t120_d8__oversampling,0.9897075525269733,0.9915119160319806,0.995466154283683,0.9897075525269734,OK,
GBT_OVR_i40_d3,oversampling,GBT_OVR_i40_d3__oversampling,0.9894236229415105,0.991523357062984,0.995649892617041,0.9894236229415104,OK,
DecisionTree_d7,oversampling,DecisionTree_d7__oversampling,0.9891396933560477,0.9913386587824643,0.9952700095495275,0.9891396933560477,OK,
NaiveBayes,oversampling,NaiveBayes__oversampling,0.9853066439522998,0.9876495136303228,0.990971492220908,0.9853066439522998,OK,
LogisticRegression,oversampling,LogisticRegression__oversampling,0.9832481544576945,0.9871475827484738,0.9935609310238918,0.9832481544576944,OK,
LinearSVC_OVR,oversampling,LinearSVC_OVR__oversampling,0.9787052810902896,0.9845359308224834,0.993784703488298,0.9787052810902895,OK,
